Links,Genres,Reviews
https://www.imdb.com/title/tt0111161/reviews?ref_=tt_urv,['drama'],the shawshank redemption is written and directed by frank darabont it is an adaptation of the stephen king novella rita hayworth and shawshank redemption starring tim robbins and morgan freeman the film portrays the story of andy dufresne robbins a banker who is sentenced to two life sentences at shawshank state prison for apparently murdering his wife and her lover andy finds it tough going but finds solace in the friendship he forms with fellow inmate ellis red redding freeman while things start to pick up when the warden finds andy a prison job more befitting his talents as a banker however the arrival of another inmate is going to vastly change things for all of themthere was no fanfare or bunting put out for the release of the film back in 94 with a title that didnt give much inkling to anyone about what it was about and with columbia pictures unsure how to market it shawshank redemption barely registered at the box office however come academy award time the film received several nominations and although it won none it stirred up interest in the film for its home entertainment release the rest as they say is history for the film finally found an audience that saw the film propelled to almost mythical proportions as an endearing modern day classic something that has delighted its fans whilst simultaneously baffling its detractors one thing is for sure though is that which ever side of the shawshank fence you sit on the film continues to gather new fans and simply will never go away or loose that mythical statusits possibly the simplicity of it all that sends some haters of the film into cinematic spasms the implausible plot and an apparent sentimental edge that makes a nonsense of prison life are but two chief complaints from those that dislike the film with a passion yet when characters are this richly drawn and so movingly performed it strikes me as churlish to do down a human drama thats dealing in hope friendship and faith the sentimental aspect is indeed there but that acts as a counterpoint to the suffering degradation and shattering of the soul involving our protagonist cosy prison life you say no chance the need for human connection is never more needed than during incarceration surely and given the quite terrific performances of robbins never better  freeman sublimely making it easy its the easiest thing in the world to warm to andy and redthose in support arent faring too bad either bob gunton is coiled spring smarm as warden norton james whitmore is heart achingly great as the birdman of shawshank clancy brown is menacing as antagonist capt byron hadley william sadler amusing as heywood  mark rolston is impressively vile as bogs diamond then theres roger deakins lush cinematography as the camera gracefully glides in and out of the prison offering almost ethereal hope to our characters yes they are ours the music pings in conjunction with the emotional flow of the movie too thomas newmans score is mostly piano based dovetailing neatly with andys state of mind while the excellently selected soundtrack ranges from the likes of hank williams to the gorgeous le nozze di figaro by mozartif you love shawshank then its a love that lasts a lifetime every viewing brings the same array of emotions  anger  revilement  happiness  sadness  inspiration and a warmth that can reduce the most hardened into misty eyed wonderment above all else though shawshank offers hope  not just for characters in a movie  but for a better life and a better world for all of us 1010
https://www.imdb.com/title/tt0068646/reviews?ref_=tt_urv,['crime'],the godfather is the pinnacle of flawless films the first time i viewed the godfather i was in my early teens and it was the most astounding film i had ever seen and has since then stood as my alltime favourite film it is due to this that i have been looking forward to writing a review of this unforgettable classic so lets start from the beginning the film opens to four words i believe in america its crazy to think that this simple line has become a resonant quote solely due to the impact it made on the entrance to the films threshold this is just one of the many renowned quotes that litter the film and believe me there are a lot after the first take we are then absorbed into the life of vito corleone brilliantly portrayed by the oscar winning performance of marlon brando vito is a feared man he is a criminal he is a mafioso but above all he is a respected family man his three sons are depicted by three excellent actors james caan john cazale and al pacino as well as his adopted child tom hagen played by robert duvall the film follows vito as he attempts to transfer his crime empire to his reluctant son michael with some of the most graphic and gruesome death scenes to have ever been seen in the 1970s film industry including a certain horses head the godfather epitomises how violence can be used effectively within a film the corleones are some of the greatest antiheroes to have ever been seen on screen whilst they are villains the audience will refuse to accept that fact coppola does something simple and audacious he takes the guilt out of organised crime a film rife with beautiful cinematography memorable musical scores and wellpaced action and drama overall the godfather is one of hollywoods greatest critical and commercial successes that gets everything right a gangster flick that is overflowing with life rich with emotion and subtle acting and further blessed with amazing direction from francis ford coppola arguably the most unforgettable masterpiece to have ever been made
https://www.imdb.com/title/tt0071562/reviews?ref_=tt_urv,['crime'],coppolas masterpiece is rivaled only by the godfather part ii in which the 1940s setting of the first movie is extended backwards and forwards to reveal the corrupting effect of powerthe film breathtaking in its scope and tragic grandeur shows two parallel stories extending two different time periods the early career of young vito corleone seen first around the turn of the 20th century in sicily and then in 1917 building his criminal underworld in the italian ghettos of new york city post world war i plus that of his son michael al pacino desperately trying to keep his family togetheral pacinos performance is quiet and solemn he is cold and ruthless with a whole contrast from the idealistic innocent war hero we initially met at the beginning of the first film here hes a calculating and frightening force seeking to expand casinos into prerevolutionary cuba and consolidating an empire surrounded by perfidy and treason maintaining total confidence in his ability to control the situation whether testifying before enraging senators or trying to outface his worst enemiesthe films haunting final shot of a lonely isolated paranoid michael in his empty compound is an unforgettable movie scene a tragic portrait of a lonely and fully damned person emotionally empty and finished far from a waspish wife more distant from a faithful lawyerde niros rise from an orphan child by a family feud back in italy to a hood in new york and his position as a respected don provides a welcome break from pacinos relentless attitude since the people he kills seem to deserve it vito comes off better than michael does and it was wise of coppola to shuffle the two stories together despite lengthy flashbacks and the disturbance of continuitythe entire cast contributes greatly to the success of the film lee strasberg a fascinating mixture of lust and ruthlessness g d spradlin absolutely right as the sinister and corrupt nevada senator michael v gazzo unforgettable as the troubled grayhaired informer gastone moschin excellent as the blackmailer in white suit john cazale marvelously timid as the vague confused and hesitant fredo diane keaton clearly irrational as the longsuffering wife kay talia shire too extravagant as the lousy mother troy donahue too ambitious as the fortunehunting suitor and robert duvall excels as the confidant and retainer to the allpowerful corleone familycoppolas motion picture is not just a mere supply with new characters and events from the original its a far more complex and intimate movie than its predecessor it is not really a sequel its just more it cleverly shifts in time between two distinct narratives with extreme realistic violence and criminal mentality of gangsters
https://www.imdb.com/title/tt0468569/reviews?ref_=tt_urv,['action'],confidently directed dark brooding and packed with impressive action sequences and a complex story the dark knight includes a careerdefining turn from heath ledger as well as other oscar worthy performances tdk remains not only the best batman movie but comic book movie ever created
https://www.imdb.com/title/tt0050083/reviews?ref_=tt_urv,['crime'],an excellent courtroom drama with a unique twist instead of following the trial itself the viewer has a unique chance to observe the events behind the closed doors of a jury room the film begins with the end of the trial the jurors retire to deliberate the case a preliminary vote is taken and the result is 111 in favour of the guilty verdict eleven jurors have raised their hands to convict a young man of killing his father only juror 8 has doubts at first even he does not truly believe the young man to be innocent but notes rightfully that the case for the defence might have been presented in a more convincing manner and that the boy might be given the benefit of a doubt since the boy is to be executed if found guilty his life is now in the hands of the jury and juror 8 reasons that the least they could do is talk about the case a bit as time goes on some of the jurors change their minds and find that there is perhaps enough reasonable doubt not to convict the young man after all but not everyone is easy to convincealthough the plot of the film is excellent and it is fascinating to see what little things can influence which way a verdict goes where this film really succeeds is in presenting the characters of the 12 jurors the character of each of the jurors emerges through a wonderful mix of perfect casting excellent dialogue and nearflawless actingjuror 1  a simple man who clearly does not understand the full complexity of the task that lies before him but is trying to do everything not to let anyone else find this out he appears at ease only once during the film  when he talks about football he has the misfortune to be selected foreman of the jury  a task he clearly does not relishjuror 2  a small quite man clearly unaccustomed to giving his own opinion much less to expecting his views to be of any importance apparently he finds solace in his job  he is an accountantjuror 3  probably the most complex personality in the film starts off like a pleasant selfmade successful businessman he analyses the case impartially explains his arguments well and is reasonably self assured as time goes on he becomes more and more passionate and seems to be somehow personally involved with the case  he also starts to show some signs of slight mental instability wonderfully played by lee j cobb  this is the character you remember after the film is overjuror 4  self assured slightly arrogant stockbroker obviously considers himself more intelligent than anyone else in the room he approaches the case with cool heartless logic but as one of the jurors says  this is not an exact science he does not take into account the feelings the passions the characters of the people involved in the case he is conspicuous by the fact that he is the only juror that does not take his jacket off it is a very hot dayjuror 5  here is a man under great emotional stress he comes from the same social background as the accused boy  with who he almost unwillingly seems to identify with paradoxically this appears one of the main reasons for him voting guilty  he does not want compassion to influence him  so ironically it doesjuror 6  a simple man quite readily admitting that everyone in the room is better qualified than he is to make decisions and offer explanations but he really wants to see justice done and it worries him that he might make a mistakejuror 7  the only one that really has no opinion on this case literally throughout the film his thoughts are never on the case  he talks of baseball of the heat of fixing the fan but the only reason he has for voting this way or that is to speed things up a bit so he might be out of the jury room as soon as possible not an evil man he just has no sense of morality whatsoever  he can tell right from wrong but does not seem to think its worth the botherjuror 8 a caring man has put more thought into the case than any of the other jurors he tries to do his best even in the face of seemingly impossible oddsjuror 9  a wise old man with his great life experience has quite a unique way of looking at the casejuror 10  the most horrifying character in the film votes guilty and does not even try to hide the fact that he does so only because of the boys social background the tragedy comes from the fact that his own social position is only a cut above the boys  which makes him all the more eager to accentuate the differencejuror 11  an immigrant watchmaker careful methodical man well mannered and soft spoken respects the right of people to have different opinion to his  and is willing to look at both sides of the problem loses his temper only once  horrified by the complete indifference of juror 7juror 12  a young business type  perhaps he has his own opinions  but is careful to hide them what he has learnt out of life seems to be that intelligence is equal with agreeing with what the majority of people thinkthe film succeeds in doing something very rare today  developing an intelligent plot while also developing 12 believable memorable and distinct characters
https://www.imdb.com/title/tt0108052/reviews?ref_=tt_urv,['biography'],i have only ever seen this film once i only ever want to see this film once and i will only ever need to see this film once it is etched on my mind i like many others left in silence  i could not imagine inventing a critical analysis of this film picking small points of detail or of style or even scoring points off the director it stands alone as a monumental piece of cinema a magnificent accomplishment
https://www.imdb.com/title/tt0167260/reviews?ref_=tt_urv,['action'],ive just rewatched the lord of the rings trilogy for the 1000th time tonight nearly 15 years since the fellowship of the rings was released i still havent seen a movie thats better nor close to any of these three films the casting is perfection as well as the incredible acting by everyone in the movie i can still watch these movies back to back and not get bored they are a light to this world and wouldnt be the same without themi miss the good old lotrs days the best movies ever created the return of the king was the best way to end a thrilling journey through middle earth
https://www.imdb.com/title/tt0110912/reviews?ref_=tt_urv,['crime'],one of the early scenes in pulp fiction features two hitmen discussing what a big mac is called in other countries their dialogue is witty and entertaining and its also disarming because it makes these two thugs seem all too normal if you didnt know better you might assume these were regular guys having chitchat on their way to work other than the comic payoff at the end of the scene in which they use parts of this conversation to taunt their victims their talk has no relevance to anything in the film or to anything else for that matter yet without such scenes pulp fiction wouldnt be pulp fiction i get the sense that tarantino put into the film whatever struck his fancy and somehow the final product is not only coherent but wonderfully texturedits no wonder that fans spend so much time debating what was in the suitcase reading far more into the story than tarantino probably intended the film is so intricately structured with so many astonishing details many of which you wont pick up on the first viewing that it seems to cry out for some deeper explanation but there is no deeper explanation pulp fiction is as the title indicates purely an exercise in technique and style albeit a brilliant and layered one containing numerous references to other films it is like a great work of abstract art or art about art it has all the characteristics we associate with great movies fine writing firstrate acting unforgettable characters and one of the most wellconstructed narratives ive ever seen in a film but to what end the selfcontained story does not seem to have bearing on anything but itselfthe movie becomes a bit easier to understand once you realize that its essentially a black comedy dressed up as a crime drama each of the three main story threads begins with a situation that could easily form the subplot of any standard gangster movie but something always goes wrong some small unexpected accident that causes the whole situation to come tumbling down leading the increasingly desperate characters to absurd measures tarantinos originality stems from his ability to focus on small details and follow them where they lead even if they move the story away from conventional plot developmentsperhaps no screenplay has ever found a better use for digressions indeed the whole film seems to consist of digressions no character ever says anything in a simple straightforward manner jules could have simply told yolanda be cool and no ones going to get hurt which is just the type of line youd find in a generic runofthemill action flick instead he goes off on a tangent about what fonzie is like tarantino savors every word of his characters finding a potential wisecrack in every statement and infusing the dialogue with clever pop culture references but the lines arent just witty they are full of intelligent observations about human behavior think of mias statement to vincent thats when you know youve found somebody special when you can just shut the f up for a minute and comfortably enjoy the silencewhat is the movies purpose exactly im not sure but it does deal a lot with the theme of power marsellus is the sort of character who looms over the entire film while being invisible most of the time the whole point of the big date sequence which happens to be my favorite section of the film is the power that marsellus has over his men without even being present this power is what gets vincent to act in ways you would not ordinarily expect from a dumb stoned gangster faced with an attractive woman whose husband has gone away the power theme also helps explain one of the more controversial aspects of the film its liberal use of the nword in this film the word isnt just used as an epithet to describe blacks jules for instance at one point applies the term to vincent it has more to do with power than with race the powerful characters utter the word to express their dominance over weaker characters most of these gangsters are not racist in practice indeed they are intermingled racially and have achieved a level of equality that surpasses the habits of many lawabiding citizens in our society they resort to racial epithets because its a patter that establishes their separateness from the noncriminal worldtheres a nice moral progression to the stories we presume that vincent hesitates to sleep with mia out of fear rather than loyalty later butchs act of heroism could be motivated by honor but were never sure the film ends however with jules making a clear moral choice thus the movie seems to be exploring whether violent outlaws can act other than for selfpreservationstill its hard to find much of a larger meaning tying together these eccentric set of stories none of the stories are really about anything they certainly are not about hitmen pontificating about burgers nor is the film really a satire or a farce although it contains elements of both at times it feels like a tale that didnt need to be told but for whatever reason this movie tells it and does a better job than most films of its kind or of any other kind
https://www.imdb.com/title/tt0060196/reviews?ref_=tt_urv,['western'],a sprawling western epic that follows the adventures of three gunfighters looking for 200000 in stolen gold sergio leones the good the bad and the ugly is a masterpiece one that continues to get better and better with each viewing  in a way its a morality play weighing the consequences of good and evil but it does so in a realistic manner  sometimes crime does pay at least in the short term and sometimes good does go unrewarded this film probably signaled the death knell of the traditional john wayne white hatblack hat westernthe three main characters make the film  lee van cleef the bad is evil personified  totally ruthless hell do whatever it takes to get what he wants  clint eastwood the good is the man with no name not really good in a traditional sense    but he has a certain sense of honor and tries to do the right thing  watch the scene when he gives a dying confederate soldier a puff of his cigar  powerful and it sums up everything that the man with no name is all about without saying a single word  eli wallach the ugly is tuco and hes easily the most complex  if not the best  character in the film  all impulse and rage tuco spins wildly throughout the movie stealing lying pretending to be clint eastwoods best friend in one scene trying to kill him in another  tuco truly represents the ugly side of peoplethe movie is long but theres not a wasted scene in the film  each one slowly lets the film unfold with a certain style and grace revealing more about each character and whats going on  the pacing is incredible as is the direction  sergio leone manages to build a lot of uncomfortable tension in the film keeping the film from ever getting predictable  any typical western cliché that you can possibly think of is either given a unique twist or utterly destroyed by leones masterful storytelling  of special mention is ennio morricones score which is absolutely perfect  two scenes  one in a union prison camp one in the climatic gunfight in the cemetery at the end of the film  are amazing on their own but they become absolutely astonishing with combined with morricones powerful score this movie is absolutely brilliant  if you havent seen it yet i strongly urge to do so  immediately  and then go watch unforgiven    in a way i think that unforgiven is the sequel to the good the bad and the ugly  its the story of what eventually happened to the man with no name the good the bad and the ugly is easily one of the best westerns ever made  a
https://www.imdb.com/title/tt0120737/reviews?ref_=tt_urv,['action'],simply incredible never before have i seen a 3 hour movie that didnt seem like 3 hours i read the lord of the rings very recently and i was surprised at how similar peter jacksons vision was to my ownnow about the omissions and alterations im not a crazed fanatic who gets worked up over every little detail i didnt mind arwens inflation and im actually glad tom bombadil was scrubbed i felt tom bombadil was an unnecessary addition to the book despite these minor changes the screenplay stays extremely close to the book and flows very very well and the prologue was a nice touchthe acting was flawless as ive read many many times in other reviews mckellen doesnt play gandalf he is gandalf wood mortensen holm astin everyone was fantastic my hats off to sean bean who delivers an excellent performance as boromir a character whos intentions are good but wrestles with the corrupting power of the ring bean portrays it very well oh and andy serkis does a perfect gollum voice its exactly as i imagined it myselfthe special effects were incredible the cave troll the balrog gollum and saurons eye all looked amazing i was also very impressed by the seamless shrinking of the vertically challenged characterswhats wrong with this movie i have no idea i thought everything was perfect my biggest gripe is having to wait an entire year to see the two towers
